Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PEAK,"Healthpeak Properties Inc",29.77,0.19,+0.64%,30,29.09,5302100,03/02/21
PEG,"Public Service Enterprise Group Inc",54.61,-0.48,-0.87%,55.26,54.12,1895300,03/02/21
PEP,"Pepsico Inc",131.07,0.45,+0.34%,132.03,130.38,5613800,03/02/21
PFE,"Pfizer Inc",33.51,-0.18,-0.53%,33.89,33.5,27655301,03/02/21
PFG,"Principal Financial Group Inc",57.8,-0.41,-0.70%,58.33,57.5,1310600,03/02/21
PG,"Procter & Gamble Company",123.9,-0.39,-0.31%,124.86,123.43,10206400,03/02/21
PGR,"Progressive Corp",88.71,1.07,+1.22%,89.24,87.33,2911400,03/02/21
PH,"Parker-Hannifin Corp",295.97,-1.61,-0.54%,298.54,295.09,645700,03/02/21
PHM,Pultegroup,46.19,0.72,+1.58%,46.47,45.02,2417800,03/02/21
PKG,"Packaging Corp of America",136.41,0.52,+0.38%,137.29,135.2,706200,03/02/21
PKI,Perkinelmer,127.53,-2.19,-1.69%,130.82,127.44,1057400,03/02/21
PLD,"Prologis Inc",99.09,-0.34,-0.34%,99.92,97.57,4855300,03/02/21
PM,"Philip Morris International Inc",85.07,0.12,+0.14%,85.85,84.68,3563600,03/02/21
PNC,"PNC Bank",173.09,0.02,+0.01%,177.81,171.85,1806700,03/02/21
PNR,"Pentair Ltd",57.7,-0.58,-1.00%,58.41,57.14,603100,03/02/21
PNW,"Pinnacle West Capital Corp",73.72,1.42,+1.96%,74.37,72.05,954500,03/02/21
POOL,"Pool Corp",330.7,-3.5,-1.05%,334.63,327.08,515700,03/02/21
PPG,"PPG Industries",140.77,2.92,+2.12%,142.38,137.96,2241900,03/02/21
PPL,"PPL Corp",27.14,0.25,+0.93%,27.32,26.77,4223300,03/02/21
PRGO,"Perrigo Company",42.09,-0.17,-0.40%,43.3,42.05,2374500,03/02/21
PRU,"Prudential Financial Inc",89.02,0.4,+0.45%,89.74,88.84,2003000,03/02/21
PSA,"Public Storage",234.43,2.46,+1.06%,236.03,230.23,917000,03/02/21
PSX,"Phillips 66",82.27,-2.43,-2.87%,85.34,82.19,2353700,03/02/21
PVH,"Phillips-Van Heusen Corp",102.11,1.9,+1.90%,102.84,99.57,596400,03/02/21
PWR,"Quanta Services",84.21,-1.49,-1.74%,85.38,83.56,1331000,03/02/21
PXD,"Pioneer Natural Resources Company",149.75,1.28,+0.86%,150.41,147.32,2019700,03/02/21
PYPL,"Paypal Holdings",269.19,-4.44,-1.62%,277.5,268.91,8480300,03/02/21
QCOM,"Qualcomm Inc",137.04,-2.45,-1.76%,140.1,136.77,8690899,03/02/21
QRVO,"Qorvo Inc",177.45,-4.86,-2.67%,182.75,177.33,1387400,03/02/21
RCL,"Royal Caribbean Cruises Ltd",93.62,2.27,+2.48%,95.5,91.99,19535801,03/02/21
RE,"Everest Re Group",241.92,-0.72,-0.30%,244.53,240.77,186300,03/02/21
REG,"Regency Centers Corp",54.15,-1.14,-2.05%,55.17,53.83,1671100,03/02/21
REGN,"Regeneron Pharmaceuticals",454.86,-8.19,-1.77%,466,454.35,759300,03/02/21
RF,"Regions Financial Corp",21.11,-0.21,-0.98%,21.43,21.08,7403500,03/02/21
RHI,"Robert Half International Inc",77.61,-1.43,-1.81%,79.85,77.53,1228400,03/02/21
RJF,"Raymond James Financial",118.27,-2.76,-2.28%,120.89,118.18,693900,03/02/21
RL,"Ralph Lauren Corp",121.64,1.3,+1.08%,122.68,119.54,1260000,03/02/21
RMD,"Resmed Inc",193.21,-2.41,-1.23%,196.38,192.35,498800,03/02/21
ROK,"Rockwell Automation Inc",248.71,-2.53,-1.01%,252.34,247.75,438100,03/02/21
ROL,"Rollins Inc",33.5,-0.57,-1.67%,34.16,33.42,1142400,03/02/21
ROP,"Roper Industries",381.09,-3.83,-1.00%,387.38,378.04,502800,03/02/21
ROST,"Ross Stores Inc",117.64,-2.93,-2.43%,121,116.37,2257000,03/02/21
RSG,"Republic Services",91.61,0.86,+0.95%,91.93,90.35,1489900,03/02/21
RTX,"Raytheon Technologies Corp",74.67,0.31,+0.42%,75.42,74.2,5792100,03/02/21
SBAC,"SBA Communications",246.33,-1.61,-0.65%,248.99,242.88,924600,03/02/21
SBUX,"Starbucks Corp",107.2,0.33,+0.31%,108.25,105.82,5015100,03/02/21
SCHW,"The Charles Schwab Corp",63.8,-0.3,-0.47%,64.78,63.43,6079600,03/02/21
SEE,"Sealed Air Corp",43.62,0.57,+1.32%,43.87,42.91,1035800,03/02/21
SHW,"Sherwin-Williams Company",689.68,-4.16,-0.60%,696.77,684.4,494200,03/02/21
SIVB,"Svb Financial Group",521.25,-10,-1.88%,533.34,520.46,233500,03/02/21
SJM,"J.M. Smucker Company",113.03,0.97,+0.87%,114.15,112.33,1347500,03/02/21
SLB,"Schlumberger N.V.",28.14,-0.58,-2.02%,29.2,28.12,13582400,03/02/21
SLG,"SL Green Realty Corp",70.51,-0.94,-1.32%,71.79,70.18,1376400,03/02/21
SNA,"Snap-On Inc",209.91,1.23,+0.59%,211.53,207.8,651000,03/02/21
SNPS,"Synopsys Inc",247.87,-6.3,-2.48%,257.23,246.2,1001500,03/02/21
SO,"Southern Company",57.83,0.05,+0.09%,58.33,57.11,3574300,03/02/21
SPG,"Simon Property Group",111.68,-2.24,-1.97%,114.11,111.34,3371200,03/02/21
SPGI,"S&P Global Inc",332.94,-4.59,-1.36%,337.41,332.73,1748400,03/02/21
SRE,"Sempra Energy",117.13,-0.77,-0.65%,118.2,116.78,2145500,03/02/21
STE,"Steris Corp",177.77,0,0.00%,178.78,175.78,612100,03/02/21
STT,"State Street Corp",77.03,0.29,+0.38%,77.98,76.36,2823600,03/02/21
STX,"Seagate Tech Ord Shs",72.52,-1.29,-1.75%,74.18,72.4,2241600,03/02/21
STZ,"Constellation Brands Inc",218.15,0.4,+0.18%,219.6,217.65,967900,03/02/21
SWK,"Stanley Black & Decker Inc",185.47,4.74,+2.62%,186.32,180.28,2358000,03/02/21
SWKS,"Skyworks Solutions",179.89,-6.57,-3.52%,187.31,179.83,1575200,03/02/21
SYF,"Synchrony Financial",39.56,-0.44,-1.10%,40.29,39.44,6106500,03/02/21
SYK,"Stryker Corp",245.39,-0.42,-0.17%,247.16,243.51,996400,03/02/21
SYY,"Sysco Corp",80.03,-0.88,-1.09%,81.3,79.83,2210700,03/02/21
T,"AT&T Inc",28.22,0.13,+0.46%,28.46,28.08,35719602,03/02/21
TAP,"Molson Coors Brewing Company",44.97,0.12,+0.27%,45.36,44.37,1795400,03/02/21
TDG,"Transdigm Group Inc",596.75,-0.12,-0.02%,600.98,591.83,193000,03/02/21
TDY,"Teledyne Technologies Inc",374.81,-5.48,-1.44%,380.43,373.33,233600,03/02/21
TEL,"Te Connectivity Ltd",134.79,0.61,+0.45%,135.53,133.09,2186600,03/02/21
TER,"Teradyne Inc",126.8,-7.2,-5.37%,133.99,126.74,1698100,03/02/21
