Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BSX,"Boston Scientific Corp",38.76,-0.14,-0.36%,38.99,38.57,6064500,03/02/21
BWA,"Borgwarner Inc",46.22,0.99,+2.19%,46.87,45.04,2012700,03/02/21
BXP,"Boston Properties",101.39,0.1,+0.10%,101.7,99.29,1256600,03/02/21
C,"Citigroup Inc",68.91,-0.63,-0.91%,69.99,68.85,19196199,03/02/21
CAG,"Conagra Brands Inc",34.31,0.16,+0.47%,34.54,33.99,2760500,03/02/21
CAH,"Cardinal Health",52.97,0.22,+0.42%,53.34,52.76,1984300,03/02/21
CARR,"Carrier Global Corp [Carr/I]",37.14,-0.06,-0.16%,37.42,36.68,4431900,03/02/21
CAT,"Caterpillar Inc",215.82,-3.94,-1.79%,219.34,215.01,2853000,03/02/21
CB,"Chubb Ltd",167.61,0.25,+0.15%,169.79,166.17,1580100,03/02/21
CBOE,"CBOE Global Markets Inc",97.62,-2.7,-2.69%,101.2,97.5,848100,03/02/21
CBRE,"CBRE Group Inc",77.99,0.44,+0.57%,78.78,77,2371100,03/02/21
CCI,"Crown Castle International Corp",153.16,-0.57,-0.37%,154.5,151.77,2443300,03/02/21
CCL,"Carnival Corp",27.59,1.28,+4.87%,27.84,26.54,49238703,03/02/21
CDNS,"Cadence Design Sys",142.15,-5.29,-3.59%,147.98,141.08,2813700,03/02/21
CDW,"CDW Corp",157.1,-3.47,-2.16%,160.81,156.84,701600,03/02/21
CE,"Celanese Corp",142.72,0.21,+0.15%,144.86,142.4,775000,03/02/21
CERN,"Cerner Corp",69.61,-0.54,-0.77%,70.6,69.5,2759500,03/02/21
CF,"Cf Industries Holdings",46.01,0.11,+0.24%,46.33,45.37,1868200,03/02/21
CFG,"Citizens Financial Group Inc/Ri",44.46,0.16,+0.36%,45.2,43.93,10253800,03/02/21
CHD,"Church & Dwight Company",79.22,0.53,+0.67%,79.85,78.54,1194400,03/02/21
CHRW,"C.H. Robinson Ww",93.12,0.9,+0.98%,94.31,91.95,1367800,03/02/21
CHTR,"Charter Communicatio",616.07,-3.61,-0.58%,624.5,611.25,984800,03/02/21
CI,"Cigna Corp",219.51,4.56,+2.12%,220.47,215.12,2242500,03/02/21
CINF,"Cincinnati Financial",99.98,-1.18,-1.17%,101.44,99.5,526900,03/02/21
CL,"Colgate-Palmolive Company",75.42,-0.18,-0.24%,76.04,75.26,4976900,03/02/21
CLX,"Clorox Company",179.02,-0.75,-0.42%,181.16,178.97,1320900,03/02/21
CMA,"Comerica Inc",69.95,-0.39,-0.55%,71,69.67,1348000,03/02/21
CMCSA,"Comcast Corp A",54.25,-0.2,-0.37%,54.78,54.07,14982699,03/02/21
CME,"CME Group Inc",206.64,-3.06,-1.46%,209.42,206.09,1593300,03/02/21
CMG,"Chipotle Mexican Grill",1475.57,-9.38,-0.63%,1506,1472.34,257900,03/02/21
CMI,"Cummins Inc",257.68,-5.3,-2.02%,262.71,255.68,892500,03/02/21
CMS,"Cms Energy Corp",54.88,0.06,+0.11%,55.2,54.2,1668300,03/02/21
CNC,"Centene Corp",59.14,-0.25,-0.42%,60.25,59.05,3184000,03/02/21
CNP,"Centerpoint Energy Inc",19.57,-0.03,-0.15%,19.71,19.51,4403500,03/02/21
COF,"Capital One Financial Corp",123.46,-0.47,-0.38%,124.71,122.87,2486500,03/02/21
COG,"Cabot Oil & Gas Corp",18.77,-0.09,-0.48%,19.27,18.75,4787700,03/02/21
COO,"Cooper Companies",387.92,-2.93,-0.75%,389.79,384.53,188900,03/02/21
COP,Conocophillips,52.28,-0.33,-0.63%,53.29,52.24,7741000,03/02/21
COST,"Costco Wholesale",328.46,-3.31,-1.00%,334.69,328.42,4658900,03/02/21
CPB,"Campbell Soup Company",45.62,0.1,+0.22%,45.88,45.09,1983700,03/02/21
CPRT,"Copart Inc",109.57,-0.25,-0.23%,110.78,108.38,977000,03/02/21
CRM,"Salesforce.com Inc",213.47,-4.07,-1.87%,218.6,213.34,10207500,03/02/21
CSCO,"Cisco Systems Inc",45.51,-0.41,-0.89%,46.08,45.42,14829500,03/02/21
CSX,"CSX Corp",92.16,-0.77,-0.83%,93.02,91.59,2270000,03/02/21
CTAS,"Cintas Corp",342.4,-2.48,-0.72%,346.93,342.04,401300,03/02/21
CTLT,"Catalent Inc",113.77,-2.63,-2.26%,116.64,112.65,1045200,03/02/21
CTSH,"Cognizant Tech Sol",74.95,0.12,+0.16%,75.72,74.04,3068900,03/02/21
CTVA,"Corteva Inc",45.78,-0.49,-1.06%,46.81,45.72,2935800,03/02/21
CTXS,"Citrix Systems Inc",136.72,-1.93,-1.39%,139.49,135.17,796200,03/02/21
CVS,"CVS Corp",68.94,-0.34,-0.49%,69.64,68.87,5251300,03/02/21
CVX,"Chevron Corp",102.44,0.39,+0.38%,103.31,101.71,10643101,03/02/21
D,"Dominion Resources",69.8,-0.13,-0.19%,70.26,69.02,3995000,03/02/21
DAL,"Delta Air Lines Inc",48.23,0.17,+0.35%,48.68,47.38,11563500,03/02/21
DD,"Du Pont De.Nemours Inc",72.98,-0.55,-0.75%,74.45,72.93,6964400,03/02/21
DE,"Deere & Company",351.44,-8.07,-2.24%,359.87,349.97,1881300,03/02/21
DFS,"Discover Financial Services",96.54,-1.33,-1.36%,98.39,96.44,1362700,03/02/21
DG,"Dollar General Corp",186.5,-6.4,-3.32%,193.55,186.32,4136000,03/02/21
DGX,"Quest Diagnostics Inc",118.56,1.99,+1.71%,119.3,116.83,1240200,03/02/21
DHI,"D.R. Horton",78.78,1.14,+1.47%,79.3,76.93,3377600,03/02/21
DHR,"Danaher Corp",224.09,-1.58,-0.70%,226.74,222.13,2066000,03/02/21
DIS,"Walt Disney Company",193.94,-1.04,-0.53%,197.96,193.49,8368800,03/02/21
DISCA,"Discovery Comm A",59.24,1.06,+1.82%,60.04,57.36,7496700,03/02/21
DISCK,"Discovery Comm Inc",49.05,0.74,+1.53%,49.38,47.8,4617300,03/02/21
DISH,"Dish Network Corp",33.09,0.25,+0.76%,33.67,32.61,3036000,03/02/21
DLR,"Digital Realty Trust",131.12,-1.84,-1.38%,133.81,129.88,1761800,03/02/21
DLTR,"Dollar Tree Inc",98.95,-0.28,-0.28%,99.95,96.54,3429700,03/02/21
DOV,"Dover Corp",127.15,-0.22,-0.17%,128.14,126.43,871300,03/02/21
DOW,"Dow Inc",62.73,1.19,+1.93%,64.04,61.8,7315600,03/02/21
DPZ,"Domino's Pizza Inc",343.01,-2.05,-0.59%,347.5,340.94,592200,03/02/21
DRE,"Duke Realty Corp",38.83,-0.82,-2.07%,39.49,38.61,3147800,03/02/21
DRI,"Darden Restaurants",138.96,-0.06,-0.04%,140.09,137.01,801000,03/02/21
DTE,"Dte Energy Company",117.97,-1.13,-0.95%,119.49,117.81,870600,03/02/21
DUK,"Duke Energy Corp",87.24,0.2,+0.23%,87.87,86.45,2427600,03/02/21
DVA,"Davita Healthcare Partners Inc",103.52,0.67,+0.65%,104.01,102.5,719200,03/02/21
DVN,"Devon Energy Corp",22.48,0.08,+0.36%,23.18,22.3,10515600,03/02/21
DXC,"Dxc Technology Company",25.71,-0.25,-0.96%,26.1,25.66,1445600,03/02/21
DXCM,Dexcom,391.91,-4.76,-1.20%,398.46,387.16,665400,03/02/21
EA,"Electronic Arts Inc",136.82,-0.45,-0.33%,138.28,135.6,2720200,03/02/21
EBAY,"Ebay Inc",56.99,-1.49,-2.55%,58.66,56.88,7646600,03/02/21
ECL,"Ecolab Inc",211.54,0.32,+0.15%,213.82,210.23,702600,03/02/21
ED,"Consolidated Edison Company of New York",67.08,0.04,+0.06%,67.65,66.31,2253800,03/02/21
EFX,"Equifax Inc",166.09,-0.52,-0.31%,168.42,165.27,680900,03/02/21
EIX,"Edison International",54.9,-0.01,-0.02%,55.44,54.26,1672700,03/02/21
EL,"Estee Lauder Companies",289.54,-4.41,-1.50%,297.7,289.36,1305700,03/02/21
EMN,"Eastman Chemical Company",113.34,1.5,+1.34%,114.29,111.61,1088800,03/02/21
EMR,"Emerson Electric Company",87.63,-0.81,-0.92%,88.87,87.45,2024900,03/02/21
ENPH,"Enphase Energy Inc",171.69,-14.76,-7.92%,185.3,171.13,3341100,03/02/21
EOG,"Eog Resources",64.47,-0.51,-0.78%,65.75,63.95,3593000,03/02/21
EQIX,"Equinix Inc",640.05,-8.21,-1.27%,649.34,629.42,820400,03/02/21
EQR,"Equity Residential",67,0.25,+0.37%,67.41,65.93,2957700,03/02/21
ES,"Eversource Energy",80.72,-0.01,-0.01%,81.14,79.52,1456100,03/02/21
ESS,"Essex Property Trust",261.77,1.8,+0.69%,264.74,257.85,618500,03/02/21
ETN,"Eaton Corp",133.97,-0.27,-0.20%,134.92,133.34,1936400,03/02/21
ETR,"Entergy Corp",88.76,1,+1.14%,89.37,87.11,1746800,03/02/21
ETSY,"Etsy Inc",238.43,-6.15,-2.51%,251.86,236.78,3688200,03/02/21
EVRG,"Evergy Inc",53.61,-0.35,-0.65%,53.99,53.02,1585300,03/02/21
EW,"Edwards Lifesciences Corp",86.28,0.51,+0.59%,86.88,85.48,3315700,03/02/21
EXC,"Exelon Corp",39.31,0,0.00%,39.7,39.27,5770400,03/02/21
EXPD,"Expeditors Intl",94.44,0.69,+0.74%,94.78,92.99,1120300,03/02/21
EXPE,"Expedia Group Inc",160.27,-0.97,-0.60%,164.42,160,2089000,03/02/21
EXR,"Extra Space Storage Inc",124.73,0.94,+0.76%,126.19,122.86,985600,03/02/21
F,"Ford Motor Company",12.55,0.57,+4.76%,12.8,11.94,104744000,03/02/21
FANG,"Diamondback Energy",71.01,-2.65,-3.60%,74.14,69.89,2592700,03/02/21
FAST,"Fastenal Company",47.48,-0.99,-2.04%,48.49,47.27,3750600,03/02/21
FB,"Facebook Inc",259,-5.91,-2.23%,266.71,258.65,15181100,03/02/21
FBHS,"Fortune Brands Home & Security",85.22,-0.99,-1.15%,86.63,84.43,1018200,03/02/21
FCX,"Freeport-Mcmoran Inc",35.18,0.28,+0.80%,36.2,34.89,21612400,03/02/21
FDX,"Fedex Corp",259.6,-2.49,-0.95%,263.65,259.48,1400100,03/02/21
FE,"Firstenergy Corp",32.81,-0.6,-1.80%,33.47,32.8,3247700,03/02/21
FFIV,"F5 Networks Inc",192.16,-1.96,-1.01%,195.37,191.39,428000,03/02/21
FIS,"Fidelity National Information Services",138.93,-0.67,-0.48%,140.07,137.61,4389500,03/02/21
FISV,"Fiserv Inc",115.68,-1,-0.86%,116.87,115.09,3232100,03/02/21
FITB,"Fifth Third Bncp",36.15,0.15,+0.42%,36.34,35.7,6892200,03/02/21
FLIR,"Flir Systems Inc",53.88,-0.12,-0.22%,54.22,53.78,1694100,03/02/21
FLS,"Flowserve Corp",37.82,-0.31,-0.81%,38.26,37.43,1164500,03/02/21
FLT,"Fleetcor Technologies",283.44,0.94,+0.33%,287.33,281.1,421600,03/02/21
FMC,"FMC Corp",105.52,-1.15,-1.08%,108.86,105.28,1177900,03/02/21
FOX,"Fox Corp Cl B",36.05,2.66,+7.97%,36.71,33.07,3052400,03/02/21
FOXA,"Fox Corp Cl A",37.95,3.16,+9.08%,38.81,34.52,12604000,03/02/21
FRC,"First Republic Bank",165.5,-7.02,-4.07%,167.81,165,1946300,03/02/21
FRT,"Federal Realty Investment Trust",101.55,-2.45,-2.36%,104.49,101.05,845000,03/02/21
FTNT,"Fortinet Inc",173.35,0.09,+0.05%,174.79,171,1406500,03/02/21
FTV,"Fortive Corp",68.09,0.11,+0.16%,68.2,67.27,1430600,03/02/21
GD,"General Dynamics Corp",167.68,0.62,+0.37%,168.77,166.59,1155700,03/02/21
GE,"General Electric Company",12.98,-0.13,-0.99%,13.25,12.97,77062000,03/02/21
GILD,"Gilead Sciences Inc",63.01,0.55,+0.88%,63.59,62.35,6841700,03/02/21
GIS,"General Mills",55.07,0.33,+0.60%,55.31,54.31,4198600,03/02/21
GL,"Globe Life Inc",96.06,0.94,+0.99%,96.73,94.93,392400,03/02/21
GLW,"Corning Inc",38.74,-0.73,-1.85%,39.7,38.72,3859400,03/02/21
GM,"General Motors Company",54.11,1.57,+2.99%,55.29,52.19,36255699,03/02/21
GOOG,"Alphabet Cl C",2075.84,-5.67,-0.27%,2104.37,2071.26,1134200,03/02/21
GOOGL,"Alphabet Cl A",2064.48,-5.18,-0.25%,2094.74,2056.67,1278000,03/02/21
GPC,"Genuine Parts Company",109.19,0.88,+0.81%,109.92,106.56,948100,03/02/21
GPN,"Global Payments Inc",202.1,-0.08,-0.04%,205.34,201.32,1956200,03/02/21
GPS,"Gap Inc",25.73,0.14,+0.55%,26.5,25.31,8421600,03/02/21
GRMN,"Garmin Ltd",127.01,-1.26,-0.98%,128.7,126.57,819300,03/02/21
GS,"Goldman Sachs Group",330.94,1.02,+0.31%,336.19,329.51,2850000,03/02/21
GWW,"W.W. Grainger",385.66,-2.16,-0.56%,387.55,382.65,205200,03/02/21
HAL,"Halliburton Company",22.28,-0.73,-3.17%,23.43,22.26,9703900,03/02/21
HAS,"Hasbro Inc",95.29,0.23,+0.24%,95.91,93.36,753500,03/02/21
HBAN,"Huntington Bcshs",15.74,-0.09,-0.57%,15.98,15.72,9216000,03/02/21
HBI,"Hanesbrands Inc",18.29,0.16,+0.88%,18.51,18.02,4190800,03/02/21
HCA,"Hca Holdings Inc",178.18,2.72,+1.55%,178.94,175.49,1191600,03/02/21
HD,"Home Depot",260.29,-1.33,-0.51%,263.11,259.77,3740000,03/02/21
HES,"Hess Corp",64.73,-0.8,-1.22%,66.79,64.61,2509400,03/02/21
HFC,"Hollyfrontier Corp",36.98,-1.2,-3.14%,38.54,36.95,1773100,03/02/21
HIG,"Hartford Financial Services Group",51.6,-0.36,-0.69%,52.01,51.54,1885300,03/02/21
HII,"Huntington Ingalls Industries",179.63,1.22,+0.68%,180.39,177.33,283300,03/02/21
HLT,"Hilton Inc",124.25,0.49,+0.40%,125.09,122.5,3325600,03/02/21
HOLX,"Hologic Inc",74.82,0.18,+0.24%,75.85,74.77,1496600,03/02/21
HON,"Honeywell International Inc",206.58,0.36,+0.17%,207.99,205.18,2500100,03/02/21
HPE,"Hewlett Packard Enterprise Comp",14.5,-0.1,-0.68%,14.65,14.36,13981400,03/02/21
HPQ,"HP Inc",30.04,0.46,+1.56%,30.29,29.33,10928500,03/02/21
HRL,"Hormel Foods Corp",46.84,0.5,+1.08%,47.37,46.32,2160900,03/02/21
HSIC,"Henry Schein Inc",62.92,-1.63,-2.53%,64.86,62.7,1409000,03/02/21
HST,"Host Marriott Financial Trust",16.01,-0.41,-2.50%,16.41,15.91,6756600,03/02/21
HSY,"Hershey Foods Corp",145.35,0.16,+0.11%,146.48,143.58,969600,03/02/21
HUM,"Humana Inc",386.3,1.38,+0.36%,388.72,381.99,845400,03/02/21
HWM,"Howmet Aerospace Inc",28.98,0.03,+0.10%,29.34,28.61,2272800,03/02/21
IBM,"International Business Machines",120.33,-0.41,-0.34%,121.9,120.26,4523500,03/02/21
ICE,"Intercontinental Exchange",113.62,-0.12,-0.11%,114.97,113.08,1872500,03/02/21
IDXX,"Idexx Laboratories",529.47,-8.7,-1.62%,543.28,527.17,312000,03/02/21
IEX,"Idex Corp",199.77,-0.14,-0.07%,200.63,197.55,282300,03/02/21
IFF,"International Flavors & Fragrances",137.15,-2,-1.44%,139.43,136.46,2037700,03/02/21
ILMN,"Illumina Inc",441.01,-5.49,-1.23%,448.35,438.07,753000,03/02/21
INCY,"Incyte Corp",78.56,-1.07,-1.34%,79.57,78.52,799800,03/02/21
INFO,"IHS Markit Ltd",91.73,-0.79,-0.85%,92.42,91.4,1580100,03/02/21
INTC,"Intel Corp",61.24,-1.64,-2.61%,63.14,61.11,23314299,03/02/21
INTU,"Intuit Inc",401.75,-4.66,-1.15%,406.52,398.67,1198300,03/02/21
IP,"International Paper Company",52.27,0.51,+0.99%,52.65,51.6,4260800,03/02/21
IPG,"Interpublic Group of Companies",26.96,0.17,+0.63%,27.03,26.57,3842100,03/02/21
IPGP,"Ipg Photonics Corp",220.59,-8.18,-3.58%,230.84,220.13,300400,03/02/21
IQV,"Iqvia Holdings Inc",192.74,-1.65,-0.85%,194.79,190.12,609500,03/02/21
IR,"Ingersoll Rand Inc",46.8,-0.66,-1.39%,47.5,46.75,1548500,03/02/21
IRM,"Iron Mountain Inc",35.16,0.43,+1.24%,35.55,34.6,2747200,03/02/21
ISRG,"Intuitive Surg Inc",750,-9.21,-1.21%,760,746.78,390900,03/02/21
IT,"Gartner Inc",183.27,-0.92,-0.50%,184.34,180.56,555400,03/02/21
ITW,"Illinois Tool Works Inc",206.5,0.06,+0.03%,207.76,205.05,778300,03/02/21
IVZ,"Invesco Plc",23.95,-0.79,-3.19%,24.92,23.94,5617300,03/02/21
J,"Jacobs Engineering Group Inc",114.55,-0.63,-0.55%,116,114.16,556000,03/02/21
JBHT,"J B Hunt Transport",150.73,1.34,+0.90%,152.56,148.02,540800,03/02/21
JCI,"Johnson Controls Intl",57.45,0.27,+0.47%,57.56,56.43,4509700,03/02/21
JKHY,"Jack Henry & Assoc",151.67,-0.44,-0.29%,154.32,150.34,595100,03/02/21
JNJ,"Johnson & Johnson",159.02,-0.3,-0.19%,160.78,158.6,7608100,03/02/21
JNPR,"Juniper Networks",23.8,-0.17,-0.71%,24.08,23.78,2810100,03/02/21
JPM,"JP Morgan Chase & Company",150.01,-0.49,-0.33%,151.78,149.84,14220899,03/02/21
K,"Kellogg Company",57.23,0.32,+0.56%,57.63,56.93,2664900,03/02/21
KEY,Keycorp,20.65,-0.09,-0.43%,20.88,20.59,5746800,03/02/21
KEYS,"Keysight Technologies Inc Comm",141.76,-2.69,-1.86%,145.23,141.43,887900,03/02/21
KHC,"Kraft Heinz Company",37.32,0.23,+0.62%,37.63,36.89,5416600,03/02/21
KIM,"Kimco Realty Corp",18.15,-0.42,-2.26%,18.47,18,4534500,03/02/21
KLAC,"K L A-Tencor Corp",309.82,-16.17,-4.96%,326.68,309.65,1175800,03/02/21
KMB,"Kimberly-Clark Corp",129.13,0.74,+0.58%,129.93,128.02,2413000,03/02/21
KMI,"Kinder Morgan",15.09,0.05,+0.33%,15.23,15.01,13687900,03/02/21
KMX,"Carmax Inc",120.98,-0.41,-0.34%,121.91,119.62,1039300,03/02/21
KO,"Coca-Cola Company",50.1,0.2,+0.40%,50.56,49.7,11754600,03/02/21
KR,"Kroger Company",32.56,-0.33,-1.00%,33.26,32.3,11486600,03/02/21
KSU,"Kansas City Southern",210.14,-5.99,-2.77%,216.18,210.01,990300,03/02/21
L,"Loews Corp",49.38,-0.14,-0.28%,49.85,49.26,812700,03/02/21
LB,"L Brands Inc",55.82,-0.93,-1.64%,57.63,55.59,2313600,03/02/21
LDOS,"Leidos Holdings Inc",90.04,-2.4,-2.60%,92.84,90.04,1214000,03/02/21
LEG,"Leggett & Platt Inc",44.92,0.87,+1.98%,45.16,44.06,1019900,03/02/21
LEN,"Lennar Corp",84.39,1.79,+2.17%,84.74,81.74,3125700,03/02/21
LH,"Laboratory Corp of America Holdings",243.65,2.15,+0.89%,246.92,241.79,776100,03/02/21
LHX,"L3Harris Technologies Inc",186,1.38,+0.75%,187.48,184,1052000,03/02/21
LIN,"Linde Plc",254.01,2.52,+1.00%,256.99,253,1671200,03/02/21
LKQ,"LKQ Corp",39.87,-0.46,-1.14%,40.5,39.68,1744300,03/02/21
LLY,"Eli Lilly and Company",204.14,-2.33,-1.13%,209.95,204.1,3444900,03/02/21
LMT,"Lockheed Martin Corp",338.59,5.12,+1.54%,340.01,332.67,2076100,03/02/21
LNC,"Lincoln National Corp",57.51,-0.66,-1.13%,58.93,57.41,1365500,03/02/21
LNT,"Alliant Energy Corp",47.11,0.02,+0.04%,47.32,46.37,1092400,03/02/21
LOW,"Lowe's Companies",163.05,1.11,+0.69%,164.79,162.4,4330900,03/02/21
LRCX,"Lam Research Corp",573.36,-25.45,-4.25%,598.76,572.4,1463500,03/02/21
LUMN,Centurylink,12.85,0.34,+2.72%,13.06,12.49,17506000,03/02/21
LUV,"Southwest Airlines Company",57.81,-0.25,-0.43%,58.4,57.22,6556500,03/02/21
LVS,"Las Vegas Sands",64.95,1.9,+3.01%,65.2,63.05,6503900,03/02/21
LW,"Lamb Weston Holdings Inc",81.34,0.07,+0.09%,81.9,78.87,781900,03/02/21
LYB,"Lyondellbasell Industries NV",107.9,1.56,+1.47%,109.44,106.96,2157800,03/02/21
LYV,"Live Nation Entertainment",90.57,-2.29,-2.47%,92.79,89.84,1900800,03/02/21
